STATE,zipcode,Income
WA,98001,57519
WA,98001,130250
WA,98001,150191
WA,98001,153532
WA,98001,341877
WA,98001,157082
WA,98002,78655
WA,98002,175304
WA,98002,143657
WA,98002,101001
WA,98002,141362
WA,98002,28093
WA,98003,103486
WA,98003,224108
WA,98003,192628
WA,98003,141522
WA,98003,261731
WA,98003,145316
WA,98004,35318
WA,98004,86973
WA,98004,121705
WA,98004,132844
WA,98004,622721
WA,98004,3374021
WA,98005,24229
WA,98005,61176
WA,98005,78379
WA,98005,88592
WA,98005,304649
WA,98005,887947
WA,98006,48604
WA,98006,95858
WA,98006,119430
WA,98006,139125
WA,98006,619148
WA,98006,1973586
WA,98007,40294
WA,98007,92596
WA,98007,121898
WA,98007,134557
WA,98007,381166
WA,98007,331444
WA,98008,36019
WA,98008,74846
WA,98008,88638
WA,98008,107743
WA,98008,406269
WA,98008,715345
WA,98010,7799
WA,98010,17655
WA,98010,21998
WA,98010,26172
WA,98010,83137
WA,98010,80606
WA,98011,36463
WA,98011,93112
WA,98011,112171
WA,98011,112213
WA,98011,356475
WA,98011,364216
WA,98012,78635
WA,98012,195914
WA,98012,262735
WA,98012,321926
WA,98012,1032192
WA,98012,635140
WA,98014,9689
WA,98014,21341
WA,98014,29682
WA,98014,31556
WA,98014,109797
WA,98014,144276
WA,98019,14321
WA,98019,33442
WA,98019,41793
WA,98019,51949
WA,98019,204656
WA,98019,201970
WA,98020,29562
WA,98020,71330
WA,98020,92323
WA,98020,105124
WA,98020,336493
WA,98020,663452
WA,98021,38932
WA,98021,87770
WA,98021,117787
WA,98021,139348
WA,98021,500602
WA,98021,424350
WA,98022,36977
WA,98022,85168
WA,98022,95834
WA,98022,103538
WA,98022,265150
WA,98022,143145
WA,98023,94095
WA,98023,210350
WA,98023,213773
WA,98023,203411
WA,98023,469207
WA,98023,398972
WA,98024,7678
WA,98024,16531
WA,98024,19439
WA,98024,22023
WA,98024,68714
WA,98024,143951
WA,98026,64330
WA,98026,148558
WA,98026,174528
WA,98026,188905
WA,98026,482839
WA,98026,441129
WA,98027,35412
WA,98027,84667
WA,98027,107906
WA,98027,127181
WA,98027,471085
WA,98027,888311
WA,98028,32657
WA,98028,76166
WA,98028,85495
WA,98028,94839
WA,98028,349199
WA,98028,383668
WA,98029,26473
WA,98029,58198
WA,98029,85866
WA,98029,111153
WA,98029,505533
WA,98029,759914
WA,98030,79358
WA,98030,168801
WA,98030,139928
WA,98030,119995
WA,98030,225367
WA,98030,90654
WA,98031,83428
WA,98031,185035
WA,98031,176590
WA,98031,158968
WA,98031,362237
WA,98031,140789
WA,98032,76779
WA,98032,184765
WA,98032,164677
WA,98032,123699
WA,98032,211177
WA,98032,139133
WA,98033,42100
WA,98033,109460
WA,98033,136193
WA,98033,162939
WA,98033,636295
WA,98033,2314399
WA,98034,72863
WA,98034,205031
WA,98034,229683
WA,98034,234635
WA,98034,720386
WA,98034,827479
WA,98036,67845
WA,98036,164939
WA,98036,165441
WA,98036,169108
WA,98036,437154
WA,98036,187551
WA,98037,54533
WA,98037,122251
WA,98037,123028
WA,98037,118161
WA,98037,267053
WA,98037,107446
WA,98038,40202
WA,98038,84240
WA,98038,131758
WA,98038,173505
WA,98038,591618
WA,98038,421295
WA,98039,2938
WA,98039,5079
WA,98039,7570
WA,98039,6810
WA,98039,38243
WA,98039,1211801
WA,98040,25752
WA,98040,54078
WA,98040,74032
WA,98040,86521
WA,98040,346751
WA,98040,2795738
WA,98042,71601
WA,98042,163061
WA,98042,203321
WA,98042,231263
WA,98042,620223
WA,98042,361851
WA,98043,44099
WA,98043,113380
WA,98043,121960
WA,98043,105206
WA,98043,157260
WA,98043,38655
WA,98045,21382
WA,98045,47751
WA,98045,60430
WA,98045,76283
WA,98045,237403
WA,98045,248214
WA,98047,13140
WA,98047,32950
WA,98047,31930
WA,98047,25996
WA,98047,37084
WA,98047,8440
WA,98051,5573
WA,98051,10981
WA,98051,15465
WA,98051,18476
WA,98051,51901
WA,98051,46913
WA,98052,72347
WA,98052,166123
WA,98052,213468
WA,98052,255536
WA,98052,1223909
WA,98052,2084040
WA,98053,19122
WA,98053,40929
WA,98053,59491
WA,98053,72516
WA,98053,367211
WA,98053,1032656
WA,98055,41169
WA,98055,115989
WA,98055,125746
WA,98055,111278
WA,98055,212640
WA,98055,77923
WA,98056,62125
WA,98056,156541
WA,98056,167449
WA,98056,151226
WA,98056,412923
WA,98056,396862
WA,98057,30628
WA,98057,76475
WA,98057,71307
WA,98057,57463
WA,98057,92736
WA,98057,92730
WA,98058,69534
WA,98058,175725
WA,98058,194356
WA,98058,197312
WA,98058,573523
WA,98058,267345
WA,98059,52007
WA,98059,119032
WA,98059,148398
WA,98059,165086
WA,98059,569374
WA,98059,592777
WA,98065,12037
WA,98065,29493
WA,98065,40461
WA,98065,50640
WA,98065,279042
WA,98065,381745
WA,98070,17383
WA,98070,36459
WA,98070,42703
WA,98070,50163
WA,98070,143045
WA,98070,231534
WA,98072,32743
WA,98072,75165
WA,98072,91253
WA,98072,102591
WA,98072,397331
WA,98072,817652
WA,98074,22430
WA,98074,38151
WA,98074,52722
WA,98074,72387
WA,98074,488500
WA,98074,1440189
WA,98075,19151
WA,98075,31215
WA,98075,42422
WA,98075,54864
WA,98075,359243
WA,98075,1409508
WA,98077,16059
WA,98077,24274
WA,98077,32418
WA,98077,38375
WA,98077,221480
WA,98077,736311
WA,98087,65794
WA,98087,169002
WA,98087,170465
WA,98087,154442
WA,98087,313858
WA,98087,106378
WA,98092,67529
WA,98092,162583
WA,98092,189400
WA,98092,206250
WA,98092,547911
WA,98092,332408
WA,98101,22724
WA,98101,57833
WA,98101,64788
WA,98101,65238
WA,98101,240299
WA,98101,822903
WA,98102,48549
WA,98102,164201
WA,98102,179042
WA,98102,147899
WA,98102,378429
WA,98102,800167
WA,98103,83143
WA,98103,265040
WA,98103,290749
WA,98103,261489
WA,98103,747149
WA,98103,1033401
WA,98104,30817
WA,98104,59862
WA,98104,51042
WA,98104,46194
WA,98104,122751
WA,98104,355145
WA,98105,75394
WA,98105,118279
WA,98105,99194
WA,98105,88383
WA,98105,323072
WA,98105,1277326
WA,98106,54238
WA,98106,128135
WA,98106,128388
WA,98106,108436
WA,98106,199402
WA,98106,64615
WA,98107,39955
WA,98107,143180
WA,98107,162830
WA,98107,155292
WA,98107,403612
WA,98107,426884
WA,98108,60096
WA,98108,129434
WA,98108,96355
WA,98108,76636
WA,98108,155746
WA,98108,137430
WA,98109,34935
WA,98109,132802
WA,98109,173025
WA,98109,169949
WA,98109,488860
WA,98109,955987
WA,98110,30936
WA,98110,56875
WA,98110,82688
WA,98110,99111
WA,98110,402560
WA,98110,1030167
WA,98112,32189
WA,98112,87743
WA,98112,95323
WA,98112,87158
WA,98112,313826
WA,98112,2306128
WA,98115,74293
WA,98115,187859
WA,98115,218854
WA,98115,227171
WA,98115,823819
WA,98115,1377197
WA,98116,33002
WA,98116,103825
WA,98116,134482
WA,98116,134058
WA,98116,452524
WA,98116,652850
WA,98117,46512
WA,98117,130083
WA,98117,153153
WA,98117,172501
WA,98117,609388
WA,98117,720830
WA,98118,106829
WA,98118,223741
WA,98118,193236
WA,98118,159329
WA,98118,358686
WA,98118,378978
WA,98119,33151
WA,98119,117174
WA,98119,132187
WA,98119,112109
WA,98119,328038
WA,98119,884243
WA,98121,20766
WA,98121,59403
WA,98121,82035
WA,98121,102423
WA,98121,360977
WA,98121,646884
WA,98122,75013
WA,98122,197768
WA,98122,182739
WA,98122,155543
WA,98122,448625
WA,98122,790718
WA,98125,82338
WA,98125,194633
WA,98125,187286
WA,98125,173679
WA,98125,427088
WA,98125,369425
WA,98126,35672
WA,98126,93352
WA,98126,111235
WA,98126,111575
WA,98126,291416
WA,98126,205894
WA,98133,99816
WA,98133,243982
WA,98133,243260
WA,98133,214620
WA,98133,451165
WA,98133,178955
WA,98134,2856
WA,98134,4540
WA,98134,4065
WA,98134,2465
WA,98134,10226
WA,98134,58334
WA,98136,20303
WA,98136,59838
WA,98136,79891
WA,98136,88976
WA,98136,284538
WA,98136,504909
WA,98144,63361
WA,98144,150906
WA,98144,131667
WA,98144,108628
WA,98144,292992
