,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Income,house_age,year_sold,season,renovated,view_cat
0,221900.0,3,1.0,1180,5650,1.0,0,0,8,1180,0.0,1955,0.0,66,47.5112,-122.257,1340,5650,113555.0,67,2014,3,0,0
1,205425.0,2,1.0,880,6780,1.0,0,2,7,880,0.0,1945,0.0,66,47.5009,-122.24799999999999,1190,6780,113555.0,77,2014,1,0,0
2,445000.0,3,2.25,2100,8201,1.0,0,0,9,1620,480.0,1967,0.0,66,47.5091,-122.244,2660,8712,113555.0,55,2014,2,0,1
3,236000.0,3,1.0,1300,5898,1.0,0,0,8,1300,0.0,1961,0.0,66,47.5053,-122.255,1320,7619,113555.0,61,2014,2,0,0
4,170000.0,2,1.0,860,5265,1.0,0,0,7,860,0.0,1931,0.0,66,47.5048,-122.272,1650,8775,113555.0,91,2015,0,0,0
5,245000.0,3,1.75,1740,11547,1.0,0,0,8,1740,0.0,1954,0.0,66,47.4945,-122.22,880,78408,113555.0,68,2015,1,0,0
6,239900.0,4,1.0,1000,7134,1.0,0,0,7,1000,0.0,1943,0.0,66,47.4897,-122.24,1020,7138,113555.0,79,2014,3,0,0
7,339000.0,4,1.5,2390,7480,1.5,0,0,8,2390,0.0,1920,0.0,66,47.504,-122.227,2850,6867,113555.0,102,2015,0,0,1
8,290900.0,2,2.0,1610,17600,2.0,0,0,7,1610,0.0,1930,1983.0,66,47.4855,-122.266,1310,12950,113555.0,92,2014,1,1,0
9,190000.0,2,1.0,630,6000,1.0,0,0,7,630,0.0,1943,2005.0,66,47.4973,-122.221,1470,6840,113555.0,79,2014,2,1,0
10,260000.0,3,1.0,1180,5350,1.5,0,2,7,1180,0.0,1959,0.0,66,47.505,-122.259,1490,5350,113555.0,63,2014,3,0,0
11,360000.0,4,2.5,1840,9611,2.0,0,0,8,1840,0.0,1996,0.0,66,47.4964,-122.251,1830,8505,113555.0,26,2015,0,0,0
12,289500.0,3,1.0,960,6400,1.0,0,2,7,820,140.0,1944,0.0,66,47.496,-122.23899999999999,1200,6600,113555.0,78,2014,2,0,0
13,188000.0,2,1.5,1120,17487,1.0,0,0,7,1120,0.0,1924,0.0,66,47.5024,-122.271,1690,8056,113555.0,98,2015,0,0,0
14,350000.0,5,3.0,2520,5500,1.0,0,0,9,1550,970.0,2004,0.0,66,47.4938,-122.255,1700,8000,113555.0,18,2014,2,0,0
15,164808.0,3,1.0,1250,5411,1.0,0,0,8,1250,0.0,1980,0.0,66,47.5064,-122.265,1490,6320,113555.0,42,2014,2,0,0
16,310000.0,4,3.0,2010,7426,1.0,0,4,8,1090,920.0,1951,0.0,66,47.5042,-122.265,1470,7426,113555.0,71,2015,0,0,0
17,825000.0,2,1.0,1150,12775,1.0,1,2,7,1150,0.0,1908,0.0,66,47.501999999999995,-122.22200000000001,2440,11852,113555.0,114,2014,2,0,1
18,269000.0,3,1.0,1690,4250,1.0,0,0,8,1020,670.0,1967,0.0,66,47.4945,-122.258,1820,8865,113555.0,55,2014,1,0,0
19,252500.0,3,2.0,1150,6000,1.0,0,4,8,1150,0.0,1956,0.0,66,47.49800000000001,-122.26299999999999,1980,6360,113555.0,66,2014,3,0,0
20,790000.0,4,1.75,2460,10061,1.0,1,0,8,1410,1050.0,1961,0.0,66,47.5105,-122.238,2300,10061,113555.0,61,2014,3,0,1
21,260000.0,2,1.0,1120,5650,1.0,0,0,7,1120,0.0,1944,0.0,66,47.4979,-122.241,1270,6875,113555.0,78,2014,1,0,0
22,245000.0,4,1.5,1280,8000,1.0,0,0,7,1280,0.0,1960,0.0,66,47.4949,-122.255,1420,8211,113555.0,62,2015,1,0,0
24,612000.0,6,3.0,3840,14040,1.5,0,0,9,2460,1380.0,1949,0.0,66,47.506,-122.241,2170,6765,113555.0,73,2015,0,0,1
25,285000.0,3,2.0,2110,6900,1.5,0,4,7,1220,890.0,1955,0.0,66,47.504,-122.26,1350,7683,113555.0,67,2014,2,0,0
26,299000.0,4,2.5,1950,3000,2.0,0,0,8,1950,0.0,2002,0.0,66,47.4977,-122.226,1170,6000,113555.0,20,2014,2,0,0
27,212000.0,4,2.0,1880,7500,1.0,0,4,7,980,900.0,1946,0.0,66,47.495,-122.266,1670,14350,113555.0,76,2015,0,0,0
28,240000.0,4,1.5,1920,7973,1.0,0,0,9,1920,0.0,1955,0.0,66,47.4961,-122.235,2020,8840,113555.0,67,2015,1,0,0
29,255000.0,4,2.0,2430,8960,1.0,0,0,8,1430,1000.0,1960,0.0,66,47.4979,-122.23200000000001,2430,8960,113555.0,62,2014,2,0,0
30,335000.0,4,2.5,2330,7050,2.0,0,0,9,2330,0.0,1998,0.0,66,47.5001,-122.23100000000001,1810,5424,113555.0,24,2014,3,0,0
31,194000.0,3,1.5,1010,5000,1.0,0,0,7,1010,0.0,1943,0.0,66,47.4925,-122.27799999999999,980,5000,113555.0,79,2014,3,0,0
32,251700.0,3,2.25,1810,11800,1.0,0,0,8,1240,570.0,1977,0.0,66,47.4997,-122.23100000000001,1810,5641,113555.0,45,2014,2,0,0
33,150000.0,3,1.0,1450,6776,1.0,0,0,8,1450,0.0,1952,0.0,66,47.5056,-122.244,1680,7200,113555.0,70,2014,2,0,0
34,280005.0,3,1.5,1130,7200,1.0,0,0,8,1130,0.0,1954,0.0,66,47.5041,-122.25299999999999,1130,7200,113555.0,68,2015,1,0,0
35,243000.0,2,1.0,1770,5522,1.5,0,2,8,960,810.0,1943,0.0,66,47.4974,-122.23100000000001,1830,7378,113555.0,79,2014,1,0,0
36,400000.0,6,2.0,2350,6554,2.0,0,0,9,2000,350.0,1905,0.0,66,47.5115,-122.256,1560,6554,113555.0,117,2014,2,0,1
37,355000.0,3,2.25,2550,9674,1.0,0,0,8,1850,700.0,1959,0.0,66,47.4856,-122.24700000000001,2240,9674,113555.0,63,2014,3,0,0
38,294000.0,3,1.0,1320,9520,1.0,0,0,8,990,330.0,1953,0.0,66,47.4857,-122.25299999999999,1460,10610,113555.0,69,2014,2,0,0
39,210000.0,3,1.0,1200,7500,1.0,0,0,7,1200,0.0,1905,1989.0,66,47.4921,-122.275,1010,7000,113555.0,117,2014,3,1,0
40,184500.0,2,1.0,720,5880,1.0,0,0,7,720,0.0,1940,0.0,66,47.5056,-122.27,1440,7200,113555.0,82,2015,0,0,0
41,199000.0,4,2.0,2030,8120,2.0,0,0,8,2030,0.0,1950,0.0,66,47.4994,-122.26100000000001,1520,9440,113555.0,72,2014,1,0,0
42,415000.0,5,1.75,3700,9140,1.0,0,0,9,1850,1850.0,1957,0.0,66,47.5086,-122.258,2190,6720,113555.0,65,2014,3,0,0
43,285000.0,4,1.75,2080,13629,1.0,0,2,8,1040,1040.0,1955,0.0,66,47.4866,-122.23200000000001,1780,14659,113555.0,67,2014,1,0,0
44,200000.0,4,2.0,2090,6630,1.0,0,0,8,1070,1020.0,1974,0.0,66,47.5077,-122.26799999999999,1550,7980,113555.0,48,2014,2,0,0
45,700000.0,2,1.0,1160,17635,1.0,1,0,7,1160,0.0,1945,0.0,66,47.5117,-122.24799999999999,1510,13122,113555.0,77,2014,3,0,1
46,178000.0,5,1.5,1990,18200,1.0,0,0,8,1990,0.0,1960,0.0,66,47.4938,-122.262,1860,8658,113555.0,62,2015,0,0,0
47,160000.0,2,1.0,1180,9350,1.0,0,0,7,1180,0.0,1918,0.0,66,47.4889,-122.259,1780,9306,113555.0,104,2014,1,0,0
48,100000.0,2,1.0,790,6426,1.0,0,0,7,790,0.0,1944,0.0,66,47.4933,-122.245,1380,6946,113555.0,78,2014,2,0,0
49,330000.0,3,2.25,1620,7150,1.0,0,2,8,1280,340.0,1950,0.0,66,47.5048,-122.241,1620,6930,113555.0,72,2014,3,0,1
50,355000.0,4,1.5,2020,6000,1.0,0,2,8,1010,1010.0,1953,0.0,66,47.5019,-122.235,1710,6000,113555.0,69,2015,0,0,0
51,119900.0,2,1.0,700,3180,1.0,0,0,7,480,220.0,1951,0.0,66,47.4976,-122.262,1760,6360,113555.0,71,2014,3,0,0
