,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Income,year_sold,house_age_at_sale
0,164,221900.0,3,1.0,1180,5650,1.0,0,4,0,8,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,113555.0,2014,59.0
1,52,205425.0,2,1.0,880,6780,1.0,0,4,2,7,880,0.0,1945,0.0,98178,47.5009,-122.248,1190,6780,113555.0,2014,69.0
2,76,445000.0,3,2.25,2100,8201,1.0,0,0,0,9,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,113555.0,2014,47.0
3,146,236000.0,3,1.0,1300,5898,1.0,0,4,0,8,1300,0.0,1961,0.0,98178,47.5053,-122.255,1320,7619,113555.0,2014,53.0
4,292,170000.0,2,1.0,860,5265,1.0,0,4,0,7,860,0.0,1931,0.0,98178,47.5048,-122.272,1650,8775,113555.0,2015,84.0
5,355,245000.0,3,1.75,1740,11547,1.0,0,4,0,8,1740,0.0,1954,0.0,98178,47.4945,-122.22,880,78408,113555.0,2015,61.0
6,238,239900.0,4,1.0,1000,7134,1.0,0,4,0,7,1000,0.0,1943,0.0,98178,47.4897,-122.24,1020,7138,113555.0,2014,71.0
7,277,339000.0,4,1.5,2390,7480,1.5,0,0,0,8,2390,0.0,1920,0.0,98178,47.504,-122.227,2850,6867,113555.0,2015,95.0
8,52,290900.0,2,2.0,1610,17600,2.0,0,4,0,7,1610,0.0,1930,1983.0,98178,47.4855,-122.266,1310,12950,113555.0,2014,84.0
9,127,190000.0,2,1.0,630,6000,1.0,0,4,0,7,630,0.0,1943,2005.0,98178,47.4973,-122.221,1470,6840,113555.0,2014,71.0
10,240,260000.0,3,1.0,1180,5350,1.5,0,4,2,7,1180,0.0,1959,0.0,98178,47.505,-122.259,1490,5350,113555.0,2014,55.0
11,278,360000.0,4,2.5,1840,9611,2.0,0,4,0,8,1840,0.0,1996,0.0,98178,47.4964,-122.251,1830,8505,113555.0,2015,19.0
12,104,289500.0,3,1.0,960,6400,1.0,0,4,2,7,820,140.0,1944,0.0,98178,47.496,-122.239,1200,6600,113555.0,2014,70.0
13,262,188000.0,2,1.5,1120,17487,1.0,0,4,0,7,1120,0.0,1924,0.0,98178,47.5024,-122.271,1690,8056,113555.0,2015,91.0
14,139,350000.0,5,3.0,2520,5500,1.0,0,4,0,9,1550,970.0,2004,0.0,98178,47.4938,-122.255,1700,8000,113555.0,2014,10.0
15,84,164808.0,3,1.0,1250,5411,1.0,0,4,0,8,1250,0.0,1980,0.0,98178,47.5064,-122.265,1490,6320,113555.0,2014,34.0
16,268,310000.0,4,3.0,2010,7426,1.0,0,4,4,8,1090,920.0,1951,0.0,98178,47.5042,-122.265,1470,7426,113555.0,2015,64.0
17,117,825000.0,2,1.0,1150,12775,1.0,1,1,2,7,1150,0.0,1908,0.0,98178,47.502,-122.222,2440,11852,113555.0,2014,106.0
18,34,269000.0,3,1.0,1690,4250,1.0,0,4,0,8,1020,670.0,1967,0.0,98178,47.4945,-122.258,1820,8865,113555.0,2014,47.0
19,226,252500.0,3,2.0,1150,6000,1.0,0,4,4,8,1150,0.0,1956,0.0,98178,47.49800000000001,-122.263,1980,6360,113555.0,2014,58.0
